GapItem,TargetLocation,Status,Notes
Master Document Register,TSI-01 DocControl.GOOGLE/01_Governance/,Missing,"No MDR found in any indexed inventory. Required as the single source of truth for all controlled docs. Create immediately."
Privacy Policy,TSI-01 DocControl.GOOGLE/02_Legal/Templates/,Draft exists,"Referenced in SAI Dev drive (TSI — Data Privacy Rules v1.0 MASTER + Vision Privacy Rules). Needs legal-facing Privacy Policy document — distinct from internal data privacy architecture docs."
MSA Template (Master Services Agreement),TSI-01 DocControl.GOOGLE/02_Legal/Templates/,Draft exists,"Not found in any inventory. TSI-OS 03-06 Legal Documents Standard exists — MSA template itself is missing."
DPA (Data Processing Agreement),TSI-01 DocControl.GOOGLE/02_Legal/Templates/,Draft exists,"Not found in any inventory. Required for any client engagement involving personal data under Australian Privacy Act."
Terms & Conditions,TSI-01 DocControl.GOOGLE/02_Legal/Templates/,Draft exists,"Not found in any inventory. Required for SAI-COM SaaS offering and Smart Tools sales."
Pricing Sheet (Client-Facing),TSI-01 DocControl.GOOGLE/02_Legal/Templates/,Draft exists,"Smart Tools pricing docs found (hardware + subscription) in 7. Smart Tools drive. No consolidated client-facing pricing sheet exists as a standalone controlled document."
Security & Access Control Policy (Consolidated),TSI-01 DocControl.GOOGLE/01_Governance/Policies/Security_And_Access_Control/,Draft exists,"SECURITY & ACCESS CONTROL (OS-07-F) exists in 1. Corporate (TSI-OS 07 folder). Needs to be designated as the canonical controlled copy at this target path per Decision A."
AI Governance Policy,TSI-01 DocControl.GOOGLE/01_Governance/AI_Governance/,Draft exists,"TSI-OS 02 AI Continuity Protocol + Command Words + Instruction Chain exist in 1. Corporate. Not yet consolidated into a single signed-off AI Governance Policy as a distinct controlled document."
IMS Integrated Management System — Document Set,TSI-01 DocControl.GOOGLE/03_Products/IMS/,Unknown/Empty — excluded,"3. IMS drive returned only top-level folder + 1 shortcut via API. Drive content unknown. IMS document set status cannot be assessed until drive is accessible."
Disposal & Archive Register,TSI-01 DocControl.GOOGLE/01_Governance/,Missing,"TSI-OS 03-08 Disposal & Archive Rules exists (Corporate drive) but no active Disposal Register documenting which documents have been archived/disposed. Rules exist; the register does not."
Change Control Register (Active),TSI-01 DocControl.GOOGLE/01_Governance/TSI_Operating_System/,Draft exists,"MASTER CHANGE REGISTER (OS-07-B) exists in Corporate drive. Needs to be confirmed as the active register and linked from MDR."
Phase2 Build — Dev Artefacts Classification,TSI-01 DocControl.GOOGLE/05_Media/DevArtefacts/ or quarantine,Missing,"TechSafe_Industries_Phase2_Build drive contains .js/.html/.css/.zip source code. These are not governance documents and currently have no classification or retention policy."
Media Asset Register,TSI-01 DocControl.GOOGLE/05_Media/ProductMarketing/,Missing,"TSI Product Services drive contains 21 binary files (MP4/M4A/PDF/PNG). No register or naming convention applied. Assets uncontrolled."
